measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,1,Number,1990,266817904.11309168,273590215.9919927,260266782.37159267
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,2,Percent,1990,0.104214284534823,0.10877863110645765,0.09930139025850113
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,3,Rate,1990,4945.919885840551,5071.456109154761,4824.4837947973165
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,494,Stroke,1,Number,1990,98876267.26034671,102509079.6038315,95626453.22526842
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,494,Stroke,2,Percent,1990,0.038619228214219384,0.0406203880085998,0.03668941810766695
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,494,Stroke,3,Rate,1990,1832.838385063376,1900.1786891966128,1772.5976005672778
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,1,Number,1991,270278106.69887304,276977249.2717202,263635514.49745473
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,2,Percent,1991,0.10486629911466606,0.10943120853414735,0.09993447853375718
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,3,Rate,1991,4933.697645257647,5055.984812133967,4812.442757457736
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,494,Stroke,1,Number,1991,100032330.18945576,103604512.64419013,96841643.18104815
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,494,Stroke,2,Percent,1991,0.03881184700818375,0.04084620034253094,0.0368214957482679
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,494,Stroke,3,Rate,1991,1826.005361415428,1891.2125229595529,1767.7620757405234
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,1,Number,1993,282650866.2762606,289309203.1982697,276109344.1179702
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,491,Cardiovascular diseases,2,Percent,1993,0.10891364280336888,0.11376124679264765,0.10363669964989121
